Year,Country,CO2_emissions_per_capita (metric tons),CO2_emissions_manufacturing_construction (as % of total fuel combustion),CO2_emissions_solid_fuel (kt),CO2_emissions_transport (as % of total fuel combustion),GDP_per_capita (US$),Renewable_energy_capacity (%MW),Renewable_energy_production (%GWh)
2000,Malaysia,5.419703075,22.46370512,,27.99269756,4087.562593,,
2001,Malaysia,5.498931996,21.94169919,,29.02582842,3941.122666,,
2002,Malaysia,5.64888519,22.4559184,12555.808,28.30710841,4177.104942,,
2003,Malaysia,5.821076338,22.2582103,18228.657,28.70593552,4454.526764,,
2004,Malaysia,6.230942287,22.7173468,31745.219,27.94458851,4924.338111,,
2005,Malaysia,6.440996321,22.53385534,26131.042,26.11514023,5536.837483,,
2006,Malaysia,6.549858347,23.42832416,26648.089,24.10212029,6137.15054,,
2007,Malaysia,6.993229591,24.38490057,29959.39,23.32322211,7144.00024,,
2008,Malaysia,7.318407813,22.69406633,38067.127,22.92006097,8343.303382,,
2009,Malaysia,6.431278592,17.44124404,46629.572,25.17523709,7167.877194,,
2010,Malaysia,6.959707228,16.03540009,55382.701,23.22604436,8880.145805,,
2011,Malaysia,6.935319956,14.89606184,55588.053,23.30512901,10209.37194,,
2012,Malaysia,6.925634921,16.56387665,59918.78,23.11997927,10601.51046,,
2013,Malaysia,7.402951013,13.91599694,58037.609,27.9898584,10727.66902,,
2014,Malaysia,7.719435953,12.97387992,57912.931,29.71159079,11045.58012,21.6,9.9
2015,Malaysia,7.603420444,,66372.7,,9699.600463,24.2,11.1
2016,Malaysia,7.348421251,,71777.858,,9555.669593,25.7,13.2
2017,Malaysia,7.039825673,,,,9979.704473,22.2,17.2
2018,Malaysia,7.452371382,,,,11073.97897,22.6,16.9
2019,Malaysia,7.464999716,,,,11132.10274,21.9,16.5
2020,Malaysia,7.383715412,,,,10164.34443,23.2,17.8
2021,Malaysia,,,,,11134.62295,23,17.9
2022,Malaysia,,,,,11993.18761,22.8,17.9
2023,Malaysia,,,,,11648.67416,22.8,
2000,Indonesia,1.310938133,22.83800721,,24.54566818,770.8653516,,
2001,Indonesia,1.391237665,22.72926083,,24.32570346,739.0039465,,
2002,Indonesia,1.388514514,21.11861138,63259.417,24.275867,888.9013897,,
2003,Indonesia,1.496673475,24.23221459,65756.644,22.4374757,1052.413199,,
2004,Indonesia,1.510301505,25.4739974,77733.066,22.41635805,1136.755211,,
2005,Indonesia,1.495368915,25.59964837,88642.391,22.17443175,1249.397694,,
2006,Indonesia,1.572351362,30.86107517,111469.466,19.74179508,1572.79794,,
2007,Indonesia,1.617812178,30.24530861,128781.373,19.95817319,1840.329927,,
2008,Indonesia,1.580832415,27.4947164,173254.749,22.17969955,2144.389544,,
2009,Indonesia,1.622875724,26.4103899,173559.11,24.34446667,2239.095265,,
2010,Indonesia,1.702905979,24.59190445,129426.765,26.89051095,3094.443079,,
2011,Indonesia,1.925542224,20.1533862,184743.46,28.57402834,3613.800888,,
2012,Indonesia,1.925450048,18.08336739,192183.803,31.23212096,3668.212083,,
2013,Indonesia,1.770402032,17.95115604,79401.551,32.57181463,3602.885517,,
2014,Indonesia,1.891427827,18.39507021,41488.438,30.80658832,3476.624854,15.4,14.5
2015,Indonesia,1.887564481,,153478.618,,3322.581679,15.7,13.8
2016,Indonesia,1.848303852,,213852.106,,3558.818852,15.5,15.4
2017,Indonesia,1.948574431,,,,3839.785075,15.2,16.3
2018,Indonesia,2.126836838,,,,3902.661676,15.1,17
2019,Indonesia,2.245285771,,,,4151.227554,14.8,16.1
2020,Indonesia,2.071658962,,,,3895.618152,14.4,18
2021,Indonesia,,,,,4334.231454,15.5,18.1
2022,Indonesia,,,,,4787.912364,15,19.6
2023,Indonesia,,,,,4940.549805,14.6,
2000,Thailand,2.678777546,20.23113796,,29.01700703,2004.107059,,
2001,Thailand,2.808749463,21.0375,,28.35625,1889.971411,,
2002,Thailand,2.967397137,22.31273242,35144.528,28.28050292,2091.178903,,
2003,Thailand,3.020757876,21.5402857,37667.424,28.90294167,2350.845496,,
2004,Thailand,3.26804608,22.31051029,42236.506,28.35766988,2647.260733,,
2005,Thailand,3.374235962,22.8021978,41228.081,27.43756244,2876.245773,,
2006,Thailand,3.388047487,23.99960331,45291.117,25.41280309,3343.785952,,
2007,Thailand,3.470192492,19.66195569,51649.695,26.55175707,3934.690909,,
2008,Thailand,3.473931644,21.16001301,56347.122,24.65492401,4327.79747,,
2009,Thailand,3.315705418,21.60714286,53021.153,27.19111969,4154.187447,,
2010,Thailand,3.526681931,22.35352043,56189.441,25.58972293,4996.372098,,
2011,Thailand,3.477784925,19.90711516,62951.389,27.13499865,5396.643586,,
2012,Thailand,3.705856454,20.37579511,63354.759,26.29310345,5748.632721,,
2013,Thailand,3.80405746,20.43241059,66273.691,25.23338048,6041.133948,,
2014,Thailand,3.736041694,20.8935611,60916.204,24.71665572,5822.377783,20.6,8.2
2015,Thailand,3.824676098,,64671.212,,5708.794091,21.2,10.6
2016,Thailand,3.794470231,,59148.71,,5854.463908,21.8,12.4
2017,Thailand,3.767896681,,,,6436.78966,20.7,15
2018,Thailand,3.718427852,,,,7124.55881,21.8,18.4
2019,Thailand,3.849043757,,,,7628.576033,22.3,19.1
2020,Thailand,3.714255806,,,,7001.850287,22.1,18
2021,Thailand,,,,,7070.512507,22.1,19.3
2022,Thailand,,,,,6913.050805,21.4,20
